cluster_id,cluster_size,n_records,n_pro,n_con,first_seen,last_seen,time_span_minutes,support_n,evidence_tier,primary_explanation,secondary_explanation,score,is_low_power,caveat_flags,evidence_kinds,score_primary_driver,score_detector_breakdown,score_signal_breakdown
cluster_0001,16,35,3,32,2026-02-18T16:33:00-08:00,2026-02-23T10:26:00-08:00,6833.0,35,watch,potential_manipulation,none,0.5924418604651163,False,"[""heuristic_only""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0001:heuristic (100.0%)
cluster_0003,11,25,4,20,2026-02-18T17:58:00-08:00,2026-02-23T13:06:00-08:00,6908.0,25,watch,potential_manipulation,none,0.41111918604651165,False,"[""heuristic_only""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0003:heuristic (100.0%)
cluster_0912,2,86,0,86,2026-02-18T21:14:00-08:00,2026-02-23T12:31:00-08:00,6677.0,86,watch,potential_manipulation,none,0.40625,False,"[""heuristic_only""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0912:heuristic (100.0%)
cluster_0002,11,14,1,13,2026-02-18T17:30:00-08:00,2026-02-23T08:02:00-08:00,6632.0,14,watch,potential_manipulation,none,0.36635174418604655,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0002:heuristic (100.0%)
cluster_0005,10,20,1,19,2026-02-18T17:04:00-08:00,2026-02-23T12:51:00-08:00,6947.0,20,watch,potential_manipulation,none,0.3626453488372093,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0005:heuristic (100.0%)
cluster_0035,5,5,0,5,2026-02-20T07:29:00-08:00,2026-02-20T07:30:00-08:00,1.0,5,watch,potential_manipulation,none,0.36083494832041346,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0035:heuristic (100.0%)
cluster_0004,11,11,1,10,2026-02-18T20:12:00-08:00,2026-02-21T11:46:00-08:00,3814.0,11,watch,potential_manipulation,none,0.3541424418604651,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0004:heuristic (100.0%)
cluster_0006,9,18,0,17,2026-02-18T16:26:00-08:00,2026-02-23T13:12:00-08:00,7006.0,18,watch,potential_manipulation,none,0.3263808139534884,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0006:heuristic (100.0%)
cluster_0219,3,3,0,3,2026-02-20T07:37:00-08:00,2026-02-20T07:38:00-08:00,1.0,3,watch,potential_manipulation,none,0.2964454134366925,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0219:heuristic (100.0%)
cluster_0140,3,49,0,49,2026-02-18T17:05:00-08:00,2026-02-23T11:51:00-08:00,6886.0,49,watch,potential_manipulation,none,0.28379360465116277,False,"[""heuristic_only""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0140:heuristic (100.0%)
cluster_0007,8,14,1,13,2026-02-18T18:09:00-08:00,2026-02-23T07:01:00-08:00,6532.0,14,watch,potential_manipulation,none,0.2819767441860465,True,"[""heuristic_only"", ""low_power"", ""low_support_n""]","[""heuristic""]",duplicates_near,duplicates_near (100.0%),cluster:cluster_0007:heuristic (100.0%)
